id,sku,picture no.,images,name,attribute 1 name,attribute 1 value(s),attribute 1 visible,attribute 1 global,attribute 2 name,attribute 2 value(s),attribute 2 visible,attribute 2 global,attribute 3 name,attribute 3 value(s),attribute 3 visible,attribute 3 global,categories
101,ALB 4483,4483,,Crocodile Effect Leather Shoulder Bag,Color,Black,1,1,Size,23 X 13.5 X 8 CMS,1,1,Leather name/ Material,Cow Croco Print,1,1,Women > Ladies Bags
102,ALB 4484,4484,,Quilted Leather Shoulder Bag,Color,Tan,1,1,Size,20.5 X 14 X 5.5 CMS,1,1,Leather name/ Material,Cow Nappa,1,1,Women > Ladies Bags
103,ALB 4485,4485,,Suede Shoulder Bag With Fancy Details,Color,Dark Tan,1,1,Size,25 X 14 X 2 CMS,1,1,Leather name/ Material,Cow Suede,1,1,Women > Ladies Bags
104,ALB 4486,4486,,Leather Shoulder Bag With Black Details,Color,Red,1,1,Size,21.5 X 14.25 X 7.5 CMS,1,1,Leather name/ Material,Cow Nappa ,1,1,Women > Ladies Bags
105,ALB 4487,4487,,Quilted Leather Round Sling Bag,Color,Red,1,1,Size,22 X 22 X 5 CMS,1,1,Leather name/ Material,Cow Nappa,1,1,Women > Ladies Bags
106,ALB 4395,4395,,Hand Painted Leather Tote Bag,Color,Black,1,1,Size,44 X 30 X 11 CMS,1,1,Leather name/ Material,Cow Spongy DD,1,1,Women > Ladies Bags
107,ALB 4397,4397,,Woven Leather Side Bag,Color,Black,1,1,Size,25 X 27.5 X 2.5 CMS,1,1,Leather name/ Material,Woven Sheep Nappa,1,1,Women > Ladies Bags
108,ALB 4469,4469,,Croco Print Leather Hand Bag,Color,Light Brown,1,1,Size,28 X 23.5 X 10.5 CMS,1,1,Leather name/ Material,Cow Croco Print,1,1,Women > Ladies Bags
109,ALB 4472,4472,,Leather Fancy Sling Bag,Color,Camel,1,1,Size,25.5 X 18.5 X 8 CMS,1,1,Leather name/ Material,Cow Nappa,1,1,Women > Ladies Bags
110,ALB 4473,4473,,Mother's Traditional Hand Bag (small),Color,Cognac,1,1,Size,23 X 14 X 12 CMS,1,1,Leather name/ Material,Buff Hunter,1,1,Women > Ladies Bags
111,ALB 4474,4474,,Stylish Evening Hand Bag,Color,Navy,1,1,Size,21 X 16 X 8 CMS,1,1,Leather name/ Material,Cow Nappa,1,1,Women > Ladies Bags
112,ALB 4475,4475,,Mother's Traditional Hand Bag,Color,Black,1,1,Size,28 X 18.5 X 11.5 CMS,1,1,Leather name/ Material,Cow Ndm,1,1,Women > Ladies Bags
113,ALB 4476,4476,,Suede & Leather Combo Evening Bag,Color,Dark Tan,1,1,Size,28 X 21 X 12 CMS,1,1,Leather name/ Material,Cow Suede/ Cow Milled Nappa,1,1,Women > Ladies Bags
114,ALB 4477,4477,,Stylish Leather Evening Hand Bag,Color,Grey,1,1,Size,22 X 16.5 X 12 CMS,1,1,Leather name/ Material,Cow Milled Nappa,1,1,Women > Ladies Bags
115,ALB 4478,4478,,Hair On Leather Tote Bag,Color,Oxblood,1,1,Size,36 X 29 X 10.25 CMS,1,1,Leather name/ Material,Cow Pebble Grain Print/cheetah Print Hair On,1,1,Women > Ladies Bags
116,ALB 4480,4480,,Hair On Fancy Sling Bag,Color,Dark Brown,1,1,Size,28 X 19.25 X 10.25 CMS,1,1,Leather name/ Material,Buff Hunter/cheetah Print Hair On,1,1,Women > Ladies Bags
117,ALB 4481,4481,,Mother's Leather Hand Bag,Color,Navy,1,1,Size,29.5 X 20 X 10 CMS,1,1,Leather name/ Material,Cow Milled Nappa,1,1,Women > Ladies Bags
118,ALB 4482,4482,,Mother's Leather Utility Bag,Color,Dark Brown,1,1,Size,33 X 24 X 10.25 CMS,1,1,Leather name/ Material,Cow Nappa,1,1,Women > Ladies Bags
