Id,sku,picno,images,Name,Short Description,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible, Attribute 1 global ,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Categories
22,ALW 91007,7,,"Wallet 
goat suede lining
 four card slots 
coin pocket
2 note compartments
1 slip pocket","Wallet 
goat suede lining
 four card slots 
coin pocket
2 note compartments
1 slip pocket",Color,Tan,1,1,Size,11 X 1 X 8.5 CM,1,1,Leather name/ Material,Cow DDM,1,1,Wallets > Mens
23,ALW 91008,8,,"Wallet 
rfid protected
5 card slots
coin pocket
1 mesh id
2 note compartments
1 slip pocket","Wallet 
rfid protected
5 card slots
coin pocket
1 mesh id
2 note compartments
1 slip pocket",Color,Black,1,1,Size,10 X 1 X 8 CM,1,1,Leather name/ Material,Cow NDM,1,1,Wallets > Mens
24,ALW 91009,9,,"Wallet
4 credit cards
1 mesh id slot
1 note section
2 slip in pockets","Wallet
4 credit cards
1 mesh id slot
1 note section
2 slip in pockets",Color,Brown/Tan,1,1,Size,10 X 1 X 8 CM,1,1,Leather name/ Material,Cow DD,1,1,Wallets > Mens
25,ALW 91010,10,,"Wallet
4 credit cards slot
1 coin pocket 
 2 note compartments
2 slip in pockets","Wallet
4 credit cards slot
1 coin pocket 
 2 note compartments
2 slip in pockets",Color,Brown,1,1,Size,10 X 1 X 8 CM,1,1,Leather name/ Material,Cow NDM,1,1,Wallets > Mens
26,ALW 91011,11,,"Wallet
8 credit cards slots
2 note compartments
2 slip in pockets","Wallet
8 credit cards slots
2 note compartments
2 slip in pockets",Color,Brown/Black,1,1,Size,11 X 1 X 8.5 CM,1,1,Leather name/ Material,Goat Analine,1,1,Wallets > Mens
27,ALW 91012,12,,"Wallet
8 credit cards slote
2 note compartments
4 slip in pockets","Wallet
8 credit cards slote
2 note compartments
4 slip in pockets",Color,Black/Brown,1,1,Size,10 X 1 X 8 CM,1,1,Leather name/ Material,Goat Analine,1,1,Wallets > Mens
28,ALW 91013,13,,"Wallet 
4 creadit cards slot
1 note mesh id
2 note compartments
3 slip pocket
1 coin pocket","Wallet 
4 creadit cards slot
1 note mesh id
2 note compartments
3 slip pocket
1 coin pocket",Color,Tan,1,1,Size,11 X 1 X 8.5 CM,1,1,Leather name/ Material,Goat Analine,1,1,Wallets > Mens
29,ALW 91014,14,,"Wallet
4 credit cards slot
1 coin pocket 
 2 note compartments
2 slip in pockets","Wallet
4 credit cards slot
1 coin pocket 
 2 note compartments
2 slip in pockets",Color,Brown,1,1,Size,10 X 1 X 8 CM,1,1,Leather name/ Material,Cow NDM,1,1,Wallets > Mens
30,ALW 91015,15,,"Notecase wallet
8 credit card slots
1 note compartments
2 slip in pockets","Notecase wallet
8 credit card slots
1 note compartments
2 slip in pockets",Color,Tan,1,1,Size,8.5 X 1.5 X 9.5 CM,1,1,Leather name/ Material,Cow DD,1,1,Wallets > Mens
31,ALW 91016,16,,"Wallet
4 credit card slots
1 coin pocket 
 2 note compartments
2 slip in pockets","Wallet
4 credit card slots
1 coin pocket 
 2 note compartments
2 slip in pockets",Color,Brown,1,1,Size,11 X 1.5 X 8.5 CM,1,1,Leather name/ Material,Cow Analine,1,1,Wallets > Mens
32,ALW 91017,17,,"Notecase wallet
4 credit card slots
2 note compartment
1 coin pocket
3 slip pocket

","Notecase wallet
4 credit card slots
2 note compartment
1 coin pocket
3 slip pocket

",Color,Tan,1,1,Size,8.5 X 1 X 10.5 CM,1,1,Leather name/ Material,Cow DD,1,1,Wallets > Mens
33,ALW 91029,29,,"Bifold wallet 
8 credit card slots
2 note compartment
2 slib pocket","Bifold wallet 
8 credit card slots
2 note compartment
2 slib pocket",Color,BLACK,1,1,Size,10 X 1 X 8 CM,1,1,Leather name/ Material,Cow Nappa,1,1,Wallets > Mens
34,ALW 91032,32,,"Wallet
8 credit card slots
2 note compartment
2 slip pocket

","Wallet
8 credit card slots
2 note compartment
2 slip pocket

",Color,D.Brown/Tan,1,1,Size,11 X 1 X 9 CM,1,1,Leather name/ Material,Cow Suede/Goat Crunch,1,1,Wallets > Mens
35,ALW 91033,33,,"Wallet
4 credit card slots
2 note compartment
1 coin pocket
2 slip pocket

","Wallet
4 credit card slots
2 note compartment
1 coin pocket
2 slip pocket

",Color,Brown/L.Tan,1,1,Size,11 X 1 X 9 CM,1,1,Leather name/ Material,Cow Hunter/Cow Nappa,1,1,Wallets > Mens
36,ALW 91034,34,,"Notecase wallet
8credit card slots
2 note compartment
1 coin pocket
2 slip pocket
one flap in mesh id

","Notecase wallet
8credit card slots
2 note compartment
1 coin pocket
2 slip pocket
one flap in mesh id
",Color,Brown,1,1,Size,8.5 X 0.5 X 8.5 CM,1,1,Leather name/ Material,Cow Hunter,1,1,Wallets > Mens
37,ALW 91035,35,,"Wallet
8credit card slots
1 note compartment
2 slip pocket


","Wallet
8credit card slots
1 note compartment
2 slip pocket


",Color,Cognac,1,1,Size,11.5 X 0.5 X 9 CM,1,1,Leather name/ Material,Goat VT,1,1,Wallets > Mens
38,ALW 91036,36,,"Wallet
8credit card slots
1 note compartment
2 slip pocket


","Wallet
8credit card slots
1 note compartment
2 slip pocket


",Color,D.Brown,1,1,Size,11.5 X 0.5 X 9 CM,1,1,Leather name/ Material,Cow Hunter,1,1,Wallets > Mens
39,ALW 91037,37,,"Wallet
4 credit card slots
2 note compartment
1 zip pocket
2 slip pocket
one mesh id in flap

","Wallet
4 credit card slots
2 note compartment
1 zip pocket
2 slip pocket
one mesh id in flap

",Color,Black/Navy,1,1,Size,11.5 X 0.5 X 9 CM,1,1,Leather name/ Material,Cow Nappa,1,1,Wallets > Mens
40,ALW 91038,38,,"Wallet
8credit card slots
1 note compartment
2 slip pocket


","Wallet
8credit card slots
1 note compartment
2 slip pocket


",Color,Brown,1,1,Size,11.5 X 0.5 X 9 CM,1,1,Leather name/ Material,Cow Hunet,1,1,Wallets > Mens
41,ALW 91039,39,,"Wallet
4 credit card slots
2 note compartment
1 coin pocket
2 slip pocket

","Wallet
4 credit card slots
2 note compartment
1 coin pocket
2 slip pocket

",Color,Brown,1,1,Size,11 X 1 X 8.5 CM,1,1,Leather name/ Material,Cow Crunch,1,1,Wallets > Mens
42,ALW 91040,40,,"Wallet
4 credit card slots
2 note compartment
1 coin pocket 
one note mesh id
with flap
2 slip pocket

","Wallet
4 credit card slots
2 note compartment
1 coin pocket 
one note mesh id
with flap
2 slip pocket

",Color,Black/Tan,1,1,Size,11 X 1 X 8.5 CM,1,1,Leather name/ Material,Cow Nappa/Stonewash,1,1,Wallets > Mens
43,ALW 91041,41,,"Wallet
6 credit card slots
2 note compartment
one note mesh id
2 slip pocket

","Wallet
6 credit card slots
2 note compartment
one note mesh id
2 slip pocket

",Color,Black,1,1,Size,11 X 1 X 8 CM,1,1,Leather name/ Material,Buff Milled Analine,1,1,Wallets > Mens
44,ALW 91042,42,,"Wallet
4credit card slots
1 note compartment
one note coin pocket
2 slip pocket

","Wallet
4credit card slots
1 note compartment
one note coin pocket
2 slip pocket

",Color,Black/Tan,1,1,Size,11.5 X 1 X 8 CM,1,1,Leather name/ Material,Cow Nappa/Goat Crunch,1,1,Wallets > Mens
45,ALW 91043,43,,"Wallet
8credit card slots
1 note compartment
2 slip pocket


","Wallet
8credit card slots
1 note compartment
2 slip pocket


",Color,Brown,1,1,Size,11 X 0.5 X 8.5 X CM,1,1,Leather name/ Material,Cow Hunter,1,1,Wallets > Mens
46,ALW 91045,45,,"Wallet
4credit card slots
2 slip pocket
2note compartmets
one coin pocket
flap with one mesh id
","Wallet
4credit card slots
2 slip pocket
2note compartmets
one coin pocket
flap with one mesh id
",Color,Tan,1,1,Size,11 X 1.5 X 8.5 CM,1,1,Leather name/ Material,Cow Hunter,1,1,Wallets > Mens
47,ALW 91047,47,,"Stitch print wallet
8credit card slots
2 note compartment
2 slip pocket


","Stitch print wallet
8credit card slots
2 note compartment
2 slip pocket


",Color,Brown/Tan,1,1,Size,11 X1 X 8.5 CM,1,1,Leather name/ Material,Cow Printer Stonewash/Goat VT,1,1,Wallets > Mens
48,ALW 91048,48,,"Wallet
4credit card slots
2 note compartment
2 slip pocket
2 note mesh id with flap


","Wallet
4credit card slots
2 note compartment
2 slip pocket
2 note mesh id with flap


",Color,D.Tan,1,1,Size,11 X 1 X 8.5 CM,1,1,Leather name/ Material,Cow DD,1,1,Wallets > Mens
49,ALW 91049,49,,"Printed wallet
8credit card slots
2 note compartment
2 slip pocket


","Printed wallet
8credit card slots
2 note compartment
2 slip pocket


",Color,Brown,1,1,Size,12 X 1 X 8.5 CM,1,1,Leather name/ Material,Cow Printed,1,1,Wallets > Mens
50,ALW 91050,50,,"Wallet
8credit card slots
2 note compartment
2 slip pocket


","Wallet
8credit card slots
2 note compartment
2 slip pocket


",Color,Black/Sky Blue,1,1,Size,10 X 1 X 8 CM,1,1,Leather name/ Material,Cow Nappa,1,1,Wallets > Mens
51,ALW 91051,51,,"Wallet
11credit card slots
2 note compartment
2 slip pocket
one note mesh id


","Wallet
11credit card slots
2 note compartment
2 slip pocket
one note mesh id


",Color,Black,1,1,Size,11 X 1 X 8.5 CM,1,1,Leather name/ Material,Cow Nappa,1,1,Wallets > Mens
